TestScene; Result; Impacts; Damage Received; Enemies Defated; Times Healed;
TestingScene_V2; victory; 13; 145; 30; 0; 
TestingScene_V2; defeat; 15; 205; 3; 0; 
TestingScene_V2; victory; 45; 555; 30; 6; 
TestingScene_V2; victory; 13; 175; 30; 1; 
TestingScene_V2; victory; 7; 95; 30; 0; 
TestingScene_V2; defeat; 15; 200; 4; 0; 
TestingScene_V2; defeat; 17; 200; 4; 0; 
TestingScene_V2; defeat; 17; 200; 2; 0; 
TestingScene_V2; defeat; 15; 210; 7; 0; 
TestingScene_V2; defeat; 26; 355; 28; 2; 
TestingScene_V2; victory; 4; 60; 30; 0; 
TestingScene_V2; defeat; 22; 275; 24; 1; 
TestingScene_V2; defeat; 16; 200; 2; 0; 
TestingScene_V2; victory; 17; 215; 30; 1; 
TestingScene_V2; defeat; 14; 205; 3; 0; 
TestingScene_V2; defeat; 16; 200; 2; 0; 
TestingScene_V2; victory; 8; 90; 30; 0; 
TestingScene_V2; defeat; 18; 210; 1; 0; 
TestingScene_V1; defeat; 10; 100; 4; 0; 
TestingScene_V1; victory; 0; 0; 30; 0; 
TestingScene_V1; victory; 0; 0; 30; 0; 
TestingScene_V1; victory; 0; 0; 30; 0; 
TestingScene_V1; victory; 0; 0; 30; 0; 
TestingScene_V1; defeat; 10; 100; 3; 0; 
TestingScene_V1; defeat; 18; 180; 11; 1; 
TestingScene_V1; victory; 0; 0; 30; 0; 
TestingScene_V1; defeat; 10; 100; 10; 0; 
TestingScene_V1; victory; 0; 0; 30; 0; 
TestingScene_V1; defeat; 10; 100; 3; 0; 
TestingScene_V1; victory; 0; 0; 30; 0; 
TestingScene_V1; victory; 8; 80; 30; 1; 
TestingScene_V1; defeat; 10; 100; 3; 0; 
TestingScene_V1; defeat; 10; 100; 3; 0; 
TestingScene_V1; defeat; 10; 100; 3; 0; 
TestingScene_V1; defeat; 10; 100; 3; 0; 
TestingScene_V1; victory; 8; 80; 30; 1; 
TestingScene_V1; victory; 0; 0; 30; 0; 
TestingScene_V1; victory; 8; 80; 30; 1; 
TestingScene_V1; victory; 0; 0; 30; 0; 
TestingScene_V2; defeat; 15; 200; 1; 0; 
TestingScene_V2; defeat; 17; 200; 2; 0; 
TestingScene_V2; victory; 11; 145; 30; 0; 
TestingScene_V2; defeat; 18; 205; 2; 0; 
TestingScene_V2; defeat; 20; 200; 4; 0; 
TestingScene_V2; defeat; 20; 205; 3; 0; 
TestingScene_V2; defeat; 19; 200; 3; 0; 
TestingScene_V2; defeat; 18; 200; 1; 0; 
TestingScene_V2; defeat; 18; 205; 2; 0; 
TestingScene_V2; defeat; 19; 200; 2; 0; 
TestingScene_V2; defeat; 19; 200; 3; 0; 
TestingScene_V4; defeat; 21; 280; 15; 1; 
TestingScene_V4; defeat; 19; 200; 2; 0; 
TestingScene_V4; defeat; 19; 200; 3; 0; 
TestingScene_V2; defeat; 18; 200; 4; 0; 
TestingScene_V2; defeat; 20; 200; 1; 0; 
