Result; Impacts; Damage Received; Enemies Defated; Times Healed;
defeat; 28; 300; 15; 1; 
defeat; 15; 200; 1; 0; 
defeat; 23; 295; 24; 1; 
defeat; 20; 200; 3; 0; 
defeat; 19; 200; 6; 0; 
defeat; 19; 210; 9; 0; 
victory; 26; 325; 30; 3; 
defeat; 15; 200; 4; 0; 
defeat; 20; 200; 6; 0; 
defeat; 20; 200; 4; 0; 
defeat; 20; 200; 3; 0; 
defeat; 18; 205; 9; 0; 
defeat; 35; 430; 25; 3; 
defeat; 14; 210; 17; 0; 
defeat; 20; 200; 3; 0; 
victory; 26; 325; 30; 3; 
defeat; 21; 210; 3; 0; 
defeat; 20; 205; 4; 0; 
defeat; 20; 200; 1; 0; 
defeat; 21; 265; 14; 1; 
defeat; 20; 200; 1; 0; 
victory; 14; 165; 30; 1; 
victory; 20; 260; 30; 2; 
defeat; 20; 200; 2; 0; 
defeat; 17; 205; 3; 0; 
defeat; 15; 205; 7; 0; 
defeat; 16; 205; 6; 0; 
defeat; 15; 205; 2; 0; 
defeat; 16; 210; 4; 0; 
defeat; 15; 210; 4; 0; 
defeat; 15; 205; 4; 0; 
defeat; 15; 205; 3; 0; 
defeat; 15; 205; 7; 0; 
defeat; 16; 205; 4; 0; 
defeat; 16; 215; 1; 0; 
defeat; 17; 210; 4; 0; 
defeat; 15; 200; 6; 0; 
